Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode,,
44568,0,0,-0.8,9,-5,0,0,,
44719,0,0,-2.16,10.36,-8.33,0,0,,
44870,0,0,-3.44,6.89,-4.23,0,0,,
45021,0,0,-8,6.24,-5.13,0,0,,
45201,0,0,-6.87,5.99,-4.52,0,0,,
45327,0,0,-8.25,4.19,-3.69,0,0,,
45453,0,0,-8.48,3.29,-3.31,0,0,,
45586,0,0,-8.85,3.18,-3.77,0,0,,
45737,0,0,-8.37,2.75,-3.41,0,0,,
45888,0,0,-8.6,2.54,-3.29,0,0,,
46039,0,0,-9.23,2.6,-4.29,0,0,,
46219,0,0,-8.48,2.75,-4.23,0,0,,
46345,0,0,-7.89,2.96,-3.02,0,0,,
46471,0,0,-6.16,3.02,-2.31,0,0,,
46604,0,0,-5.42,6.2,-3.73,0,0,,
46755,0,0,-4.88,9.46,-3.39,0,0,,
46906,0,0,-3.18,11.47,-4.82,0,0,,
47057,0,0,-1.83,10.59,-2.39,0,0,,
47238,0,0,-0.95,10.09,-1.2,0,0,,
47366,0,0,-1.11,10.02,0.19,0,0,,
47492,0,0,-1.49,10.23,-1.2,0,0,,
47622,0,0,-1.89,10.53,-0.78,0,0,,
47773,0,0,-2.72,10.05,-0.4,0,0,,
47924,0,0,-2.72,9.52,-0.84,0,0,,
48075,0,0,-3.18,10.05,-0.7,0,0,,
48256,0,0,-2.68,10.09,0.36,0,0,,
48383,0,0,-2.81,9.58,1.83,0,0,,
48509,0,0,-2.33,9.54,1.05,0,0,,
48639,0,0,-3.12,9.56,1.53,0,0,,
48790,0,0,-3.14,9.81,1.13,0,0,,
48941,0,0,-3.88,10.3,1.39,0,0,,
49067,0,0,-2.52,9.65,0.84,0,0,,
49204,0,0,-2.29,9.38,0.3,0,0,,
49383,0,0,-4.71,10.95,-0.86,0,0,,
49509,0,0,-2.31,11.01,0.05,0,0,,
49657,0,0,-2.72,9.69,0.51,0,0,,
49808,0,0,-3.58,10.65,1.22,0,0,,
49959,0,0,-2.5,9.06,1.7,0,0,,
50085,0,0,-2.81,10.42,0.68,0,0,,
50222,0,0,-1.41,7.28,1.26,0,0,,
50401,0,0,-2.18,9.36,1.13,0,0,,
50527,0,0,-3.33,10.86,1.76,0,0,,
50675,0,0,-2.79,10.15,2.22,0,0,,
50826,0,0,-2.95,9.42,2.14,0,0,,
50977,0,0,-2.91,10.21,1.37,0,0,,
51103,0,0,-4.02,10.88,2.47,0,0,,
51240,0,0,-3.14,9.52,2.18,0,0,,
51419,0,0,-3.9,9.52,0.93,0,0,,
51545,0,0,-3.54,9.25,1.62,0,0,,
51693,0,0,-3.25,9.13,3.67,0,0,,
51844,0,0,-3.08,10.46,2.29,0,0,,
51995,0,0,-3.42,10.13,2.58,0,0,,
52121,0,0,-3.96,9.5,1.55,0,0,,
52257,0,0,-3.39,9.58,1.93,0,0,,
52436,0,0,-3.42,9.04,1.97,0,0,,
52562,0,0,-3.79,9.77,2.22,0,0,,
52710,0,0,-3.64,9.58,1.78,0,0,,
52861,0,0,-3.33,9.21,2.1,0,0,,
53012,0,0,-3,9.67,1.64,0,0,,
53140,0,0,-3.39,9.06,2.18,0,0,,
53275,0,0,-2.89,8.5,2.06,0,0,,
53454,0,0,-2.85,9.69,1.32,0,0,,
53580,0,0,-3.31,9.82,1.26,0,0,,
53728,0,0,-3.67,9.69,0.93,0,0,,
53879,0,0,-3.52,9.59,0.4,0,0,,
54030,0,0,-3.62,9.69,0.78,0,0,,
54156,0,0,-3.94,10.67,0.9,0,0,,
54293,0,0,-3.75,10.15,0.01,0,0,,
54473,0,0,-3.83,9.81,0.61,0,0,,
54601,0,0,-3.71,8.92,-0.34,0,0,,
54746,0,0,-4.5,10.72,1.34,0,0,,
54897,0,0,-3.87,9.94,0.76,0,0,,
55048,0,0,-3.87,10.02,0.8,0,0,,
55174,0,0,-3.69,10.71,1.09,0,0,,
55311,0,0,-3.33,9.46,1.18,0,0,,
55490,0,0,-3.19,9.69,1.16,0,0,,
55616,0,0,-3.58,9.52,0.7,0,0,,
55764,0,0,-3.54,9.77,1.11,0,0,,
55915,0,0,-3.21,9.33,1.14,0,0,,
56066,0,0,-3.14,8.66,2.1,0,0,,
56194,0,0,-4.33,9.61,1.13,0,0,,
56329,0,0,-4.04,9.1,0.68,0,0,,
56508,0,0,-4.56,8.27,0.78,0,0,,
56634,0,0,-4.79,9.77,0.8,0,0,,
56782,0,0,-4.59,8.35,1.09,0,0,,
56933,0,0,-4.92,8.92,1.3,0,0,,
57059,0,0,-4.13,8.75,2.24,0,0,,
57196,0,0,-4.46,9.15,0.82,0,0,,
57347,0,0,-4.86,9.27,1.2,0,0,,
57526,0,0,-4.25,11.22,-3.44,0,0,,
57654,0,0,-3.1,12.47,-3.02,0,0,,
57800,0,0,-0.9,11.24,-3.46,0,0,,
57951,0,0,-3.79,5.82,-5.3,0,0,,
58077,0,0,-4.06,6.18,-4.71,0,0,,
58214,0,0,-5.17,6.57,-4.92,0,0,,
58365,0,0,-5.69,3.96,-5.93,0,0,,
58545,0,0,-4.65,4.1,-7.62,0,0,,
58671,0,0,-4.77,3.19,-6.59,0,0,,
58818,0,0,-9.27,7.43,-6.41,0,0,,
58969,0,0,0.93,7.56,-9.21,0,0,,
59097,0,0,1.09,8.69,-6.61,0,0,,
59232,0,0,-1.22,5.55,-7.66,0,0,,
59383,0,0,0,7.41,-7.01,0,0,,
59562,0,0,-0.22,7.54,-7.93,0,0,,
59688,0,0,-1.47,6.89,-5.15,0,0,,
59836,0,0,0.15,7.89,-5.07,0,0,,
59987,0,0,2.64,10.02,-1.74,0,0,,
60113,0,0,2.73,9.63,-2.35,0,0,,
60250,0,0,2.33,9.9,0.49,0,0,,
60401,0,0,1.32,9.17,0.44,0,0,,
60581,0,0,3.81,11.15,-0.8,0,0,,
