
Time,Latitude,Longitude,AccelX(m/s^2),AccelY(m/s^2),AccelZ(m/s^2),Abs_Altitude(m),mode
52101,38.2612233,140.8485612,-1.49,0.05,9.31,0.00,0
52222,38.2612233,140.8485612,-1.87,-0.59,9.77,0.00,0
52343,38.2612233,140.8485612,-2.12,0.34,10.69,0.00,0
52486,38.2612233,140.8485612,-0.70,-0.03,10.25,0.00,0
52637,38.2612233,140.8485612,-1.74,0.68,10.28,0.00,0
52788,38.2612233,140.8485612,-0.26,0.38,9.48,0.00,0
52939,38.2612233,140.8485612,-1.43,0.05,9.63,0.00,0
53118,38.2612233,140.8485612,-1.64,0.49,10.02,0.00,0
53239,38.2612233,140.8485612,-2.18,-0.55,9.54,0.00,0
53360,38.2612233,140.8485612,-1.22,-0.61,9.36,0.00,0
53504,38.2612233,140.8485612,-1.28,0.17,9.79,0.00,0
53655,38.2612233,140.8485612,-2.16,-0.28,9.92,0.00,0
53806,38.2612233,140.8485612,-3.23,0.30,10.36,0.00,0
53957,38.2612233,140.8485612,-1.62,0.09,10.09,0.00,0
54135,38.2612233,140.8485612,-1.93,0.97,10.92,0.00,0
54256,38.2612233,140.8485612,-1.41,0.15,9.36,0.00,0
54377,38.2612233,140.8485612,-1.83,-0.36,9.48,0.00,0
54522,38.2612233,140.8485612,-2.58,0.17,9.92,0.00,0
54673,38.2612233,140.8485612,-2.47,0.30,9.48,0.00,0
54824,38.2612233,140.8485612,-2.60,0.68,10.02,0.00,0
54975,38.2612233,140.8485612,-3.56,0.76,9.69,0.00,0
55152,38.2612233,140.8485612,-2.12,0.38,7.10,0.00,0
55273,38.2612233,140.8485612,-2.33,0.57,9.13,0.00,0
55394,38.2612233,140.8485612,-1.30,0.57,7.43,0.00,0
55541,38.2612233,140.8485612,0.00,1.43,9.25,0.00,0
55692,38.2612233,140.8485612,-0.49,3.56,9.35,0.00,0
55843,38.2612233,140.8485612,-0.65,3.35,9.35,0.00,0
55994,38.2612233,140.8485612,-3.56,4.69,8.35,0.00,0
56171,38.2612233,140.8485612,-1.85,1.66,8.46,0.00,0
56292,38.2612233,140.8485612,-2.77,0.70,10.17,0.00,0
56413,38.2612233,140.8485612,-1.82,-0.76,9.13,0.00,0
56560,38.2612233,140.8485612,-1.14,-1.76,10.21,0.00,0
56711,38.2612233,140.8485612,-4.08,0.28,11.28,0.00,0
56862,38.2612233,140.8485612,-0.28,-0.78,10.51,0.00,0
57013,38.2612233,140.8485612,-2.62,0.15,9.44,0.00,0
57191,38.2612233,140.8485612,-1.93,0.57,9.15,0.00,0
57314,38.2612233,140.8485612,-1.24,-0.53,9.61,0.00,0
57435,38.2612233,140.8485612,-2.01,-0.86,11.45,0.00,0
57578,38.2612233,140.8485612,2.50,-1.30,9.88,0.00,0
57729,38.2612233,140.8485612,-2.95,-0.57,10.49,0.00,0
57880,38.2612233,140.8485612,-1.89,-1.43,10.02,0.00,0
58001,38.2612233,140.8485612,-2.50,-1.41,10.09,0.00,0
58144,38.2612233,140.8485612,-3.87,-0.80,9.71,0.00,0
58322,38.2612233,140.8485612,-2.62,1.34,6.39,0.00,0
58446,38.2612233,140.8485612,-1.22,-1.60,10.40,0.00,0
58597,38.2612233,140.8485612,-2.43,-1.87,10.57,0.00,0
58748,38.2612233,140.8485612,-0.90,-2.28,10.23,0.00,0
58899,38.2612233,140.8485612,-1.83,-1.20,8.92,0.00,0
59020,38.2612233,140.8485612,-2.06,0.07,11.20,0.00,0
59163,38.2612233,140.8485612,-1.99,-0.53,9.42,0.00,0
59341,38.2612233,140.8485612,-2.75,0.51,10.02,0.00,0
59465,38.2612233,140.8485612,-2.91,0.28,9.48,0.00,0
59616,38.2612233,140.8485612,-2.12,-0.11,10.05,0.00,0
59767,38.2612233,140.8485612,-1.83,0.51,9.31,0.00,0
59918,38.2612233,140.8485612,-2.22,0.53,10.38,0.00,0
